Ref,Val,Package,PosX,PosY,Rot,Side
"K1","KEYSW","MXOnly-1U-Hotswap",-102.393750,28.575000,0.000000,top
"K2","KEYSW","MXOnly-1U-Hotswap",-83.343750,28.575000,0.000000,top
"K3","KEYSW","MXOnly-1U-Hotswap",-64.293750,28.575000,0.000000,top
"K4","KEYSW","MXOnly-1U-Hotswap",-45.243750,28.575000,0.000000,top
"K5","KEYSW","MXOnly-1U-Hotswap",-26.193750,28.575000,0.000000,top
"K6","KEYSW","MXOnly-1U-Hotswap",-7.143750,28.575000,0.000000,top
"K7","KEYSW","MXOnly-1U-Hotswap",11.906250,28.575000,0.000000,top
"K8","KEYSW","MXOnly-1U-Hotswap",30.956250,28.575000,0.000000,top
"K9","KEYSW","MXOnly-1U-Hotswap",50.006250,28.575000,0.000000,top
"K10","KEYSW","MXOnly-1U-Hotswap",69.056250,28.575000,0.000000,top
"K11","KEYSW","MXOnly-1U-Hotswap",88.106250,28.575000,0.000000,top
"K12","KEYSW","MXOnly-1U-Hotswap",107.156250,28.575000,0.000000,top
"K13","KEYSW","MXOnly-1U-Hotswap",126.206250,28.575000,0.000000,top
"K14","KEYSW","MXOnly-2U-Hotswap",154.781250,28.575000,0.000000,top
"K15","KEYSW","MXOnly-1.5U-Hotswap",-97.631250,9.525000,0.000000,top
"K16","KEYSW","MXOnly-1U-Hotswap",-73.818750,9.525000,0.000000,top
"K17","KEYSW","MXOnly-1U-Hotswap",-54.768750,9.525000,0.000000,top
"K18","KEYSW","MXOnly-1U-Hotswap",-35.718750,9.525000,0.000000,top
"K19","KEYSW","MXOnly-1U-Hotswap",-16.668750,9.525000,0.000000,top
"K20","KEYSW","MXOnly-1U-Hotswap",2.381250,9.525000,0.000000,top
"K21","KEYSW","MXOnly-1U-Hotswap",21.431250,9.525000,0.000000,top
"K22","KEYSW","MXOnly-1U-Hotswap",40.481250,9.525000,0.000000,top
"K23","KEYSW","MXOnly-1U-Hotswap",59.531250,9.525000,0.000000,top
"K24","KEYSW","MXOnly-1U-Hotswap",78.581250,9.525000,0.000000,top
"K25","KEYSW","MXOnly-1U-Hotswap",97.631250,9.525000,0.000000,top
"K26","KEYSW","MXOnly-1U-Hotswap",116.681250,9.525000,0.000000,top
"K27","KEYSW","MXOnly-1U-Hotswap",135.731250,9.525000,0.000000,top
"K29","KEYSW","MXOnly-1.75U-Hotswap",-95.250000,-9.525000,0.000000,top
"K30","KEYSW","MXOnly-1U-Hotswap",-69.056250,-9.525000,0.000000,top
"K31","KEYSW","MXOnly-1U-Hotswap",-50.006250,-9.525000,0.000000,top
"K32","KEYSW","MXOnly-1U-Hotswap",-30.956250,-9.525000,0.000000,top
"K33","KEYSW","MXOnly-1U-Hotswap",-11.906250,-9.525000,0.000000,top
"K34","KEYSW","MXOnly-1U-Hotswap",7.143750,-9.525000,0.000000,top
"K35","KEYSW","MXOnly-1U-Hotswap",26.193750,-9.525000,0.000000,top
"K36","KEYSW","MXOnly-1U-Hotswap",45.243750,-9.525000,0.000000,top
"K37","KEYSW","MXOnly-1U-Hotswap",64.293750,-9.525000,0.000000,top
"K38","KEYSW","MXOnly-1U-Hotswap",83.343750,-9.525000,0.000000,top
"K39","KEYSW","MXOnly-1U-Hotswap",102.393750,-9.525000,0.000000,top
"K40","KEYSW","MXOnly-1U-Hotswap",121.443750,-9.525000,0.000000,top
"K43","KEYSW","MXOnly-1U-Hotswap",-59.531250,-28.575000,0.000000,top
"K44","KEYSW","MXOnly-1U-Hotswap",-40.481250,-28.575000,0.000000,top
"K45","KEYSW","MXOnly-1U-Hotswap",-21.431250,-28.575000,0.000000,top
"K46","KEYSW","MXOnly-1U-Hotswap",-2.381250,-28.575000,0.000000,top
"K47","KEYSW","MXOnly-1U-Hotswap",16.668750,-28.575000,0.000000,top
"K48","KEYSW","MXOnly-1U-Hotswap",35.718750,-28.575000,0.000000,top
"K49","KEYSW","MXOnly-1U-Hotswap",54.768750,-28.575000,0.000000,top
"K50","KEYSW","MXOnly-1U-Hotswap",73.818750,-28.575000,0.000000,top
"K51","KEYSW","MXOnly-1U-Hotswap",92.868750,-28.575000,0.000000,top
"K52","KEYSW","MXOnly-1U-Hotswap",111.918750,-28.575000,0.000000,top
"K53","KEYSW","MXOnly-2.25U-Hotswap",142.875000,-28.575000,0.000000,top
"K54","KEYSW","MXOnly-1U-Hotswap",173.831250,-28.575000,0.000000,top
"K55","KEYSW","MXOnly-1.5U-Hotswap",-97.631250,-47.625000,0.000000,top
"K56","KEYSW","MXOnly-1.5U-Hotswap",-50.006250,-47.625000,0.000000,top
"K57","KEYSW","MXOnly-7U-Hotswap",30.956250,-47.625000,0.000000,top
"K58","KEYSW","MXOnly-1.5U-Hotswap",111.918750,-47.625000,0.000000,top
"K59","KEYSW","MXOnly-1U-Hotswap",154.781250,-47.625000,0.000000,top
"K60","KEYSW","MXOnly-1U-Hotswap",173.831250,-47.625000,0.000000,top
"K61","KEYSW","MXOnly-1U-Hotswap",192.881250,-47.625000,0.000000,top
"K63","KEYSW","MXOnly-1.5U-Hotswap",159.543616,9.524992,0.000000,top
"K65","KEYSW","MXOnly-1.25U-Hotswap",-100.012416,-28.574976,0.000000,top
"K67","KEYSW","MXOnly-1U-Hotswap",-73.818688,-47.624960,0.000000,top
